POOLSIZE,RESULTTYPE,TESTDATE,Trap No
37,NEGATIVE,8/22/2019 0:00,1
50,POSITIVE,8/21/2019 0:00,1
50,NEGATIVE,8/21/2019 0:00,1
50,NEGATIVE,8/28/2019 0:00,1
50,NEGATIVE,8/28/2019 0:00,1
50,NEGATIVE,8/28/2019 0:00,1
8,NEGATIVE,8/20/2019 0:00,1
27,NEGATIVE,8/14/2019 0:00,1
30,NEGATIVE,8/15/2019 0:00,1
50,NEGATIVE,8/14/2019 0:00,1
21,NEGATIVE,7/25/2019 0:00,1
43,NEGATIVE,7/22/2019 0:00,1
32,NEGATIVE,7/23/2019 0:00,1
8,NEGATIVE,7/10/2019 0:00,1
15,NEGATIVE,7/16/2019 0:00,1
28,NEGATIVE,7/18/2019 0:00,1
47,NEGATIVE,7/30/2019 0:00,1
53,NEGATIVE,8/10/2019 0:00,1
50,NEGATIVE,8/5/2019 0:00,1
39,NEGATIVE,7/29/2019 0:00,1
50,NEGATIVE,7/29/2019 0:00,1
50,NEGATIVE,8/5/2019 0:00,1
50,NEGATIVE,8/5/2019 0:00,1
17,NEGATIVE,8/5/2019 0:00,1
2,NEGATIVE,8/9/2019 0:00,1
31,NEGATIVE,8/7/2019 0:00,1
50,NEGATIVE,8/7/2019 0:00,1
32,NEGATIVE,8/8/2019 0:00,1
50,NEGATIVE,8/13/2019 0:00,1
29,NEGATIVE,8/13/2019 0:00,1
50,NEGATIVE,8/13/2019 0:00,1
50,POSITIVE,8/13/2019 0:00,1
8,NEGATIVE,6/4/2019 0:00,1
13,NEGATIVE,6/11/2019 0:00,1
12,NEGATIVE,6/11/2019 0:00,1
20,NEGATIVE,6/12/2019 0:00,1
27,NEGATIVE,6/17/2019 0:00,1
6,NEGATIVE,7/8/2019 0:00,1
14,NEGATIVE,7/3/2019 0:00,1
2,NEGATIVE,7/9/2019 0:00,1
33,NEGATIVE,6/19/2019 0:00,1
18,NEGATIVE,6/21/2019 0:00,1
9,NEGATIVE,6/24/2019 0:00,1
24,NEGATIVE,7/2/2019 0:00,1
8,NEGATIVE,7/1/2019 0:00,1
22,NEGATIVE,6/26/2019 0:00,1
8,NEGATIVE,6/13/2017 0:00,1
18,NEGATIVE,6/6/2017 0:00,1
15,NEGATIVE,6/9/2017 0:00,1
8,NEGATIVE,6/16/2017 0:00,1
1,NEGATIVE,5/30/2017 0:00,1
17,NEGATIVE,6/2/2017 0:00,1
7,NEGATIVE,6/20/2017 0:00,1
2,NEGATIVE,6/20/2017 0:00,1
31,NEGATIVE,6/30/2017 0:00,1
55,NEGATIVE,6/30/2017 0:00,1
45,NEGATIVE,7/11/2017 0:00,1
50,NEGATIVE,7/6/2017 0:00,1
58,NEGATIVE,7/6/2017 0:00,1
7,NEGATIVE,7/18/2017 0:00,1
20,NEGATIVE,7/19/2017 0:00,1
16,NEGATIVE,7/17/2017 0:00,1
11,NEGATIVE,7/17/2017 0:00,1
50,POSITIVE,7/14/2017 0:00,1
28,NEGATIVE,7/24/2017 0:00,1
18,POSITIVE,7/24/2017 0:00,1
28,NEGATIVE,7/27/2017 0:00,1
19,NEGATIVE,7/28/2017 0:00,1
21,NEGATIVE,7/31/2017 0:00,1
50,NEGATIVE,8/3/2017 0:00,1
18,POSITIVE,8/3/2017 0:00,1
40,NEGATIVE,8/2/2017 0:00,1
50,NEGATIVE,8/10/2017 0:00,1
50,NEGATIVE,8/8/2017 0:00,1
50,NEGATIVE,8/8/2017 0:00,1
50,NEGATIVE,8/8/2017 0:00,1
50,POSITIVE,8/18/2017 0:00,1
50,NEGATIVE,8/14/2017 0:00,1
50,NEGATIVE,8/14/2017 0:00,1
50,NEGATIVE,8/31/2017 0:00,1
50,NEGATIVE,8/31/2017 0:00,1
50,NEGATIVE,8/22/2017 0:00,1
50,NEGATIVE,8/22/2017 0:00,1
50,NEGATIVE,8/29/2017 0:00,1
50,NEGATIVE,8/29/2017 0:00,1
24,NEGATIVE,9/19/2017 0:00,1
27,NEGATIVE,9/14/2017 0:00,1
15,NEGATIVE,9/26/2017 0:00,1
37,NEGATIVE,6/2/2016 0:00,1
16,NEGATIVE,6/7/2016 0:00,1
19,NEGATIVE,6/8/2016 0:00,1
1,NEGATIVE,6/17/2016 0:00,1
6,NEGATIVE,6/20/2016 0:00,1
24,NEGATIVE,6/21/2016 0:00,1
53,NEGATIVE,6/28/2016 0:00,1
57,NEGATIVE,6/30/2016 0:00,1
14,NEGATIVE,6/30/2016 0:00,1
9,NEGATIVE,7/5/2016 0:00,1
50,NEGATIVE,7/8/2016 0:00,1
50,NEGATIVE,7/8/2016 0:00,1
24,NEGATIVE,7/13/2016 0:00,1
50,NEGATIVE,7/12/2016 0:00,1
23,NEGATIVE,7/12/2016 0:00,1
36,NEGATIVE,7/18/2016 0:00,1
60,NEGATIVE,7/15/2016 0:00,1
55,NEGATIVE,7/15/2016 0:00,1
22,NEGATIVE,7/15/2016 0:00,1
47,NEGATIVE,7/20/2016 0:00,1
50,NEGATIVE,7/26/2016 0:00,1
62,NEGATIVE,7/26/2016 0:00,1
50,NEGATIVE,7/22/2016 0:00,1
